楼盘名称,平米数,总价,单价
店长推荐 满五年唯一 东南向 户型方正,96.3平米,1150万,"119,419元/平"
西单天安门，兵器部中楼层，南北两居双阳台，采光好！,74.6平米,1130万,"151,475元/平"
荣丰二期南向复式 精装修 可以贷款,32.5平米,498万,"153,231元/平"
清芷园，满五年成本价，停车方便。,74.88平米,775万,"103,499元/平"
人定湖西里，公园旁边的小区，交通方便,57.9平米,810万,"139,897元/平"
荣丰2008诚心出售随时签约看房方便,39.48平米,515万,"130,446元/平"
如意里  南北向 两居室 采光好,58.1平米,680万,"117,040元/平"
马连道路5号院 全南两居 近地铁,54.03平米,555万,"102,721元/平"
西城区二环内 国资委社区 户型好管理好 环境好 精装修,103.74平米,1170万,"112,782元/平"
德胜里一区全南向2居2层满5年家庭唯一住房,57.2平米,838万,"146,504元/平"
国家工商总局家属楼、不临街、满五年央产、电梯3居,71平米,1050万,"147,888元/平"
牛街南北通透正规两居，采光好，中间层，1998年建成,71.55平米,688万,"96,157元/平"
月坛南街北里，业主诚心售房，双南向大卧室,70.5平米,956万,"135,603元/平"
阜成门外北街   低楼层两居室,46.4平米,630万,"135,776元/平"
西城双旗杆东里 南北通透两居室 中间层 管理好,59.4平米,908万,"152,862元/平"
此房在业主名下满五年，看房方便，业主诚心出售,50.86平米,665万,"130,752元/平"
光泽胡同 南北通透 低楼层 安静不临街,58.1平米,830万,"142,858元/平"
西直门内大街 南向两居 电梯 精装修,63平米,965万,"153,175元/平"
月坛北街    85年  南北通透,51.8平米,669万,"129,151元/平"
马连道中里三区，朝南三室一厅，满五年房改房，没遮挡,77.18平米,875万,"113,372元/平"
百万庄大街乙21号院 带正规客厅两居室 无浪费面积,66.8平米,900万,"134,731元/平"
冠英园小区，有电梯，高楼层视野好，近地铁,53.31平米,739万,"138,624元/平"
西城安德东里 全南向两居室 业主诚意出售看房方便,51平米,848万,"166,275元/平"
金融街 西城晶华 正规两室一厅，全明格局，满五唯一,117.44平米,1985万,"169,023元/平"
新文化街 精装修 拎包入住 看房提前联系,65.2平米,1075万,"164,878元/平"
展览路带电梯双东两居室 交通方便,57.3平米,716万,"124,957元/平"
车公庄 西直门 新华里10号院 九和苑,123.65平米,1750万,"141,529元/平"
房子满五年唯一，南北朝向，双阳台，低楼层，无遮挡。,60.3平米,865万,"143,450元/平"
二期南向复式，满五年唯一，大面宽中高层，居住舒适,35.77平米,515万,"143,976元/平"
车站东街15号院 南北通透 满五唯一 中间层,53.97平米,559万,"103,577元/平"
三里河二区A区大三居室  楼龄新 带电梯 户型好,117.6平米,1760万,"149,660元/平"
三里河三区单位房，一层，东向，两居,65.1平米,760万,"116,744元/平"
新外大街28号院  两居带客厅,54.6平米,840万,"153,847元/平"
2003年小区 安德馨居 2层 满五年唯一 有钥匙,66.59平米,950万,"142,665元/平"
店长推荐，高楼层，视野好，婚房装修，满五年唯一住房,60.33平米,672万,"111,388元/平"
北礼士路 带电梯正规三居室 全明格局,77.7平米,950万,"122,266元/平"
月坛 木樨地 满五唯一央产  1991年 电梯直达,61.3平米,895万,"146,004元/平"
德外新明胡同精装三居 全明格局 中高楼层,76.8平米,1150万,"149,740元/平"
阜成门外大街甲40号 全朝南一居室 诚心出售 随时看房,40.6平米,668万,"164,533元/平"
西城德胜门2011年 户型方正 南向一居室,66.58平米,1075万,"161,460元/平"
大区主推 德胜门 德胜里一区 水利水电部家属 停车方便,67.6平米,1000万,"147,929元/平"
广安门内大街 精装修朝南一居室 电梯直达 诚意出售,33.29平米,458万,"137,579元/平"
此房满五唯一，产权清晰，无遮挡，诚心出售,27.86平米,466万,"167,265元/平"
榆树馆西里 朝南一居室 高楼层 有电梯 无遮挡 采光好,45.8平米,625万,"136,463元/平"
长椿街 锦上国际公寓 70年产权 满五唯一 精装修,69.97平米,536万,"76,605元/平"
