名称,地理位置（字段1）,地理位置（字段2）,地理位置（字段3）,房型,面积（㎡）,均价（元/平米）,总价（万元/套）
中建宸庐,顺义,马坡,大营四街中建宸庐,2室,120,42000,504.0000
西山相府,门头沟,城子,城子大街13号,3室,125,58000,725.0000
傲云,朝阳,中央别墅区,顺黄路53号,4室,320,100000,3200.0000
金地璟宸,房山,良乡,北京市房山区政通路29号,3室,97,38000,368.6000
长安悦玺,石景山,鲁谷,衙门口南路长安悦玺,3室,97,79500,771.1500
天资陸号院,房山,长阳,昊天北大街天资陸号院,1室,52,39000,202.8000
朝阳一墅,朝阳,中央别墅区,金港南路朝阳一墅,4室,123,64500,793.3500
春和景明,通州,潞苑,潞苑中路和京榆旧线交汇处东南春和景明,3室,155,69600,1078.8000
中建·长安麓府,门头沟,冯村,泰安路中建·长安麓府,3室,70,58000,406.0000
招商中建顺义臻珑府,顺义,马坡,站前北街辅路招商中建顺义臻珑府,2室,78,39000,304.2000
龙樾合玺,朝阳,朝阳其它,北京市朝阳区南皋村中街,3室,125,88000,1100.0000
金融街武夷·融御（二期）,通州,武夷花园,通胡大街 金融街武夷·融御（二期）,2室,75,66000,495.0000
和光瑞府,顺义,中央别墅区,北京市顺义区中粮祥云小镇南侧地块,3室,109,62000,675.8000
青云上府,朝阳,中央别墅区,东苇路青云上府,3室,130,66000,858.0000
和光悦府,朝阳,朝阳其它,南皋路和光悦府,4室,120,88000,1056.0000
朝阳壹号,朝阳,垡头,东五环朝阳壹号,3室,110,71000,781.0000
国祥雲著,密云,鼓楼街道,密云区檀营乡新北路,3室,95,28500,270.7500
和锦华宸,顺义,马坡,牛栏山实验一中北和锦华宸,3室,95,39000,370.5000
和悦璞云,大兴,大兴其它,榆南路和悦璞云,1室,52,30000,156.0000
中骏金辉未来云城,大兴,黄村火车站,北京·大兴新城·京雄城际铁路北京大兴站西50米，地铁黄村火车站西800米。,3室,98,54000,529.2000
远洋源山春秋,石景山,石景山其它,北京市石景山区刘娘府北街,3室,210,95700,2009.7000
德贤华府,大兴,大兴其它,兴良路德贤华府,2室,70,52000,364.0000
德贤御府,朝阳,朝阳其它,北京市朝阳区诚源三路,2室,73,78000,569.4000
北清云际,昌平,回龙观,北京市昌平区二拨子工业园区中路,2室,83,62000,514.6000
绿城沁园,朝阳,豆各庄,黄厂路绿城沁园,1室,55,65000,357.5000
国誉未来悦,通州,九棵树(家乐福),九棵树西路国誉未来悦,3室,40,56000,224.0000
金地北京壹街区,通州,通州其它,徐宋路金地北京壹街区,2室,73,45000,328.5000
熙悦晴翠,丰台,丰台其它,长顺二路熙悦晴翠,2室,75,68000,510.0000
奥森春晓,昌平,回龙观,北京市昌平区文华路东侧约150米,2室,96,63000,604.8000
越秀天恒.怀山府,怀柔,怀柔,红螺寺路怀山府,3室,90,38000,342.0000
越秀天恒.怀山府,怀柔,怀柔,红螺寺路怀山府,3室,160,42000,672.0000
西山金茂府,丰台,丰台其它,北京市丰台区,3室,90,55000,495.0000
熙悦雲上,大兴,瀛海,南五环熙悦雲上,3室,106,65000,689.0000
中绿东岳府,朝阳,垡头,高碑店路中绿东岳府,3室,122,71000,866.2000
京能丽墅,大兴,大兴新机场洋房别墅区,南北大街京能丽墅,3室,185,29000,536.5000
朝阳一墅,朝阳,中央别墅区,金港南路朝阳一墅,3室,285,64500,1838.2500
中建宸庐云起,顺义,马坡,大营二街中建宸庐云起,3室,117,40000,468.0000
雅居乐富春山居,门头沟,门头沟其它,北京市门头沟区冯石环路西侧500米,4室,143,42000,600.6000
雅居乐富春山居,门头沟,门头沟其它,北京市门头沟区冯石环路西侧500米,3室,158,63000,995.4000
北京建工·璟玥林汐,怀柔,怀柔,和平街北京建工·璟玥林汐,2室,71,32000,227.2000
京能龙湖熙上,朝阳,双桥,北京市朝阳区双桥东路,2室,66,69800,460.6800
中建学府印悦,房山,良乡,长虹东路良乡大学城西地铁站东400米中建学府印悦,1室,63,39000,245.7000
橡树湾,大兴,西红门,福伟路橡树湾,2室,73,66000,481.8000
金茂长安悦,门头沟,上岸地铁,石龙东路金茂长安悦,2室,80,55000,440.0000
